groupe;forme;frequence;part_du_groupe;sans_diacritique;decision;commentaire
kaye;kayè;1;20 %;;;
poz;pòz;4;80 %;;;
poz;poz;1;20 %;oui;;
areste;arèsté;4;80 %;;;
areste;aresté;1;20 %;;;
tret;trèt;4;80 %;;;
tret;tret;1;20 %;oui;;
dwetet;dwètèt;4;80 %;;;
dwetet;dwétèt;1;20 %;;;
veye;véyé;4;80 %;;;
veye;véyè;1;20 %;;;
kannot;kannòt;4;80 %;;;
kannot;kannot;1;20 %;oui;;
fose;fòsé;3;60 %;;;
fose;fosé;2;40 %;;;
respekte;respèkté;3;60 %;;;
respekte;respekté;2;40 %;;;
leta;lèta;3;60 %;;;
leta;léta;2;40 %;;;
blese;blésé;3;60 %;;;
blese;blesé;2;40 %;;;
chabon;chabon;3;60 %;oui;;
chabon;chabòn;2;40 %;;;
sen;sen;2;40 %;oui;;
sen;sèn;2;40 %;;;
sen;sén;1;20 %;;;
espesyal;espésyal;3;75 %;;;
espesyal;èspésyal;1;25 %;;;
jeneral;jeneral;3;75 %;oui;;
jeneral;jénéral;1;25 %;;;
piket;pikèt;3;75 %;;;
piket;pikét;1;25 %;;;
goch;gòch;3;75 %;;;
goch;goch;1;25 %;oui;;
ravet;ravèt;3;75 %;;;
ravet;ravet;1;25 %;oui;;
lotel;lotèl;3;75 %;;;
lotel;lotel;1;25 %;oui;;
avote;avòté;3;75 %;;;
avote;avoté;1;25 %;;;
mel;mel;3;75 %;oui;;
mel;mél;1;25 %;;;
premie;premié;3;75 %;;;
premie;prèmié;1;25 %;;;
grande;grandè;3;75 %;;;
grande;grande;1;25 %;oui;;
feyaj;féyaj;3;75 %;;;
feyaj;fèyaj;1;25 %;;;
lod;lòd;3;75 %;;;
lod;lod;1;25 %;oui;;
raze;razé;2;50 %;;;
raze;razè;2;50 %;;;
kepi;képi;2;50 %;;;
kepi;kèpi;2;50 %;;;
nwese;nwèsè;2;67 %;;;
nwese;nwésè;1;33 %;;;
mile;milé;2;67 %;;;
mile;milè;1;33 %;;;
respire;respiré;2;67 %;;;
respire;rèspiré;1;33 %;;;
site;sitè;2;67 %;;;
site;site;1;33 %;oui;;
konfedmanti;konfédmanti;2;67 %;;;
konfedmanti;konfèdmanti;1;33 %;;;
fo-zot;fo-zòt;2;67 %;;;
fo-zot;fò-zòt;1;33 %;;;
mode;mòdé;2;67 %;;;
mode;modé;1;33 %;;;
travese;travèsé;2;67 %;;;
travese;travésé;1;33 %;;;
let;lèt;2;67 %;;;
let;let;1;33 %;oui;;
nam-li;nam-li;2;67 %;oui;;
nam-li;nàm-li;1;33 %;;;
